Date,game_id,game_pk,pitcher_name,retroID_pitcher,fangraphsID_pitcher,mlbID_pitcher,brefID_pitcher,fgTeam_pitcher,mlbTeam_pitcher,fgTeam_batter,mlbTeam_batter,GS,W,L,SV,HLD,IP,TBF,H,R,ER,HR,BB,SO,BABIP,ERA,FIP,xFIP,Hper9,HRper9,Kper9,BBper9,Innings,Year,balls,strikes,cluster,classified
9/25/2019,ARI201909250,564910,Merrill Kelly,kellm002,11156,518876,kellyme01,ARI,ARI,STL,STL,1,1,0,0,0,6,27,8,5,5,1,2,7,0.412,7.5,4.05,3.54,12,1.5,10.5,3,6,2019,36,63,2,Bad Start
9/28/2019,ARI201909280,564912,Robbie Ray,ray-r002,11486,592662,rayro02,ARI,ARI,SDP,SD,1,0,0,0,0,6,27,8,4,4,2,3,10,0.5,6,5.71,2.71,12,3,15,4.5,6,2019,38,67,2,Bad Start
4/7/2019,ATL201904070,567162,Sean Newcomb,newcs001,16943,656794,newcose01,ATL,ATL,MIA,MIA,1,0,0,0,0,7,27,4,2,2,0,2,2,0.174,2.57,3.5,6.34,5.14,0,2.57,2.57,7,2019,35,63,1,Good Start
4/12/2019,ATL201904120,567164,Zach Wheeler,wheez001,10310,554430,wheelza01,NYM,NYM,ATL,ATL,1,1,0,0,0,6,27,6,2,2,0,3,8,0.375,3,2.05,4.04,9,0,12,4.5,6,2019,42,69,2,Bad Start
4/16/2019,ATL201904160,567167,Robbie Ray,ray-r002,11486,592662,rayro02,ARI,ARI,ATL,ATL,1,0,0,0,0,6,27,7,5,5,1,4,4,0.333,7.5,6.05,6.53,10.5,1.5,6,6,6,2019,40,60,2,Bad Start
5/15/2019,ATL201905150,567183,Mike Soroka,sorom001,18383,647336,sorokmi01,ATL,ATL,STL,STL,1,1,0,0,0,7,27,3,0,0,0,3,3,0.15,0,4.07,6.06,3.86,0,3.86,3.86,7,2019,36,57,1,Good Start
5/19/2019,ATL201905190,567187,Brandon Woodruff,woodb005,16162,605540,woodrbr01,MIL,MIL,ATL,ATL,1,0,0,0,0,8,28,5,2,2,2,0,6,0.15,2.25,4.96,3.95,5.62,2.25,6.75,0,8,2019,28,65,1,Good Start
5/28/2019,ATL201905280,567188,Max Fried,friem001,13743,608331,friedma01,ATL,ATL,WSN,WSH,1,0,1,0,0,5.2,29,9,4,4,0,3,5,0.474,6.35,4.1,5.5,14.29,0,7.94,4.76,5.67,2019,35,53,2,Bad Start
5/28/2019,ATL201905280,567188,Stephen Strasburg,stras001,10131,544931,strasst01,WSN,WSH,ATL,ATL,1,1,0,0,0,7,29,5,2,2,0,2,11,0.333,2.57,1.36,2.49,6.43,0,14.14,2.57,7,2019,37,66,1,Good Start
6/1/2019,ATL201906010,567191,Mike Soroka,sorom001,18383,647336,sorokmi01,ATL,ATL,DET,DET,1,1,0,0,0,6.2,27,7,4,3,0,0,5,0.318,4.05,1.71,3.21,9.45,0,6.75,0,6.67,2019,32,68,1,Good Start
6/11/2019,ATL201906110,567199,Chris Archer,archc001,6345,502042,archech01,PIT,PIT,ATL,ATL,1,0,1,0,0,6,27,8,7,7,5,2,8,0.25,10.5,12.38,3.87,12,7.5,12,3,6,2019,41,67,2,Bad Start
6/14/2019,ATL201906140,567202,Nick Pivetta,piven001,15454,601713,pivetni01,PHI,PHI,ATL,ATL,1,0,0,0,0,6.2,29,8,4,4,3,2,6,0.278,5.4,8.16,4.7,10.8,4.05,8.1,2.7,6.67,2019,36,80,2,Bad Start
6/17/2019,ATL201906170,567205,Zach Wheeler,wheez001,10310,554430,wheelza01,NYM,NYM,ATL,ATL,1,0,1,0,0,6,30,10,5,4,1,2,4,0.391,6,5.05,4.87,15,1.5,6,3,6,2019,36,72,2,Bad Start
6/18/2019,ATL201906180,567206,Jacob deGrom,degrj001,10954,594798,degroja01,NYM,NYM,ATL,ATL,1,1,0,0,0,8.1,31,5,2,2,2,0,10,0.167,2.16,4.29,3.56,5.4,2.16,10.8,0,8.33,2019,36,77,1,Good Start
7/2/2019,ATL201907020,567208,Dallas Keuchel,keucd001,9434,572971,keuchda01,ATL,ATL,PHI,PHI,1,0,1,0,0,7,28,5,2,2,0,2,3,0.217,2.57,3.21,3.78,6.43,0,3.86,2.57,7,2019,42,55,1,Good Start
7/2/2019,ATL201907020,567208,Aaron Nola,nolaa001,16149,605400,nolaaa01,PHI,PHI,ATL,ATL,1,1,0,0,0,8,30,4,0,0,0,3,8,0.211,0,2.34,4.83,4.5,0,9,3.38,8,2019,44,73,1,Good Start
7/6/2019,ATL201907060,567212,Max Fried,friem001,13743,608331,friedma01,ATL,ATL,MIA,MIA,1,0,1,0,0,5,27,11,5,5,2,1,7,0.529,9,6.21,3,19.8,3.6,12.6,1.8,5,2019,30,66,2,Bad Start
7/7/2019,ATL201907070,567213,Dallas Keuchel,keucd001,9434,572971,keuchda01,ATL,ATL,MIA,MIA,1,1,0,0,0,7.1,28,5,2,2,0,1,4,0.217,2.45,2.53,3.89,6.14,0,4.91,1.23,7.33,2019,37,71,1,Good Start
7/20/2019,ATL201907200,567216,Mike Soroka,sorom001,18383,647336,sorokmi01,ATL,ATL,WSN,WSH,1,0,1,0,0,6,27,9,4,4,1,2,4,0.4,6,5.05,4.54,13.5,1.5,6,3,6,2019,27,57,2,Bad Start
8/4/2019,ATL201908040,567223,Sonny Gray,grays001,12768,543243,grayso01,CIN,CIN,ATL,ATL,1,0,0,0,0,7,29,4,0,0,0,4,7,0.222,0,2.93,5.2,5.14,0,9,5.14,7,2019,49,61,1,Good Start
8/13/2019,ATL201908130,567224,Zach Wheeler,wheez001,10310,554430,wheelza01,NYM,NYM,ATL,ATL,1,0,1,0,0,5,27,12,5,5,1,2,2,0.5,9,6.21,7.19,21.6,1.8,3.6,3.6,5,2019,34,57,2,Bad Start
8/16/2019,ATL201908160,567227,Mike Soroka,sorom001,18383,647336,sorokmi01,ATL,ATL,LAD,LAD,1,0,0,0,0,6.2,27,7,3,3,1,3,4,0.316,4.05,5.31,5.45,9.45,1.35,5.4,4.05,6.67,2019,40,55,2,Bad Start
8/21/2019,ATL201908210,567231,Julio Teheran,tehej001,6797,527054,teherju01,ATL,ATL,MIA,MIA,1,1,0,0,0,7,28,5,0,0,0,3,9,0.313,0,1.93,3.92,6.43,0,11.57,3.86,7,2019,32,60,1,Good Start
8/22/2019,ATL201908220,567232,Sandy Alcantara,alcas001,18684,645261,alcansa01,MIA,MIA,ATL,ATL,1,0,0,0,0,7,28,3,1,0,0,2,7,0.167,0,2.5,4.77,3.86,0,9,2.57,7,2019,36,62,1,Good Start
8/31/2019,ATL201908310,567234,Dallas Keuchel,keucd001,9434,572971,keuchda01,ATL,ATL,CHW,CWS,1,1,0,0,0,6,29,9,2,2,0,0,3,0.375,3,3.21,4.21,13.5,0,4.5,0,6,2019,33,68,2,Bad Start
9/18/2019,ATL201909180,567243,Zach Eflin,efliz001,13774,621107,eflinza01,PHI,PHI,ATL,ATL,1,1,0,0,0,7,29,5,1,0,0,2,4,0.217,0,2.93,3.78,6.43,0,5.14,2.57,7,2019,41,58,1,Good Start
9/20/2019,ATL201909200,567245,Mike Foltynewicz,foltm001,10811,592314,foltymi01,ATL,ATL,SFG,SF,1,1,0,0,0,8,29,3,0,0,0,1,7,0.143,0,1.84,3.83,3.38,0,7.88,1.12,8,2019,30,65,1,Good Start
9/20/2019,ATL201909200,567245,Tyler Beede,beedt001,16981,595881,beedety01,SFG,SF,ATL,ATL,1,0,1,0,0,6,27,7,6,6,2,2,5,0.278,9,6.88,5.2,10.5,3,7.5,3,6,2019,34,55,2,Bad Start
9/22/2019,ATL201909220,567247,Dallas Keuchel,keucd001,9434,572971,keuchda01,ATL,ATL,SFG,SF,1,0,1,0,0,6,27,6,3,2,0,2,4,0.286,3,2.88,5.2,9,0,6,3,6,2019,36,67,2,Bad Start
4/21/2019,BAL201904210,564939,Dylan Bundy,bundd001,12917,605164,bundydy01,BAL,BAL,MIN,MIN,1,0,1,0,0,6,28,7,4,2,0,1,4,0.318,3,2.88,5.86,10.5,0,6,1.5,6,2019,32,63,2,Bad Start
